node_name,community_label
1,0
7,0
8,0
9,0
10,0
11,0
12,0
16,0
18,0
27,0
28,0
29,0
30,0
32,0
35,0
36,0
37,0
38,0
2,0
5,0
13,0
14,0
17,0
21,0
24,0
33,0
3,0
4,0
6,0
20,0
25,0
40,0
19,0
23,0
26,0
31,0
34,0
15,0
22,0
39,0
41,1
47,1
48,1
49,1
50,1
51,1
52,1
56,1
58,1
67,1
68,1
69,1
70,1
72,1
75,1
76,1
77,1
78,1
42,1
45,1
53,1
54,1
57,1
61,1
64,1
73,1
43,1
44,1
46,1
60,1
65,1
80,1
59,1
63,1
66,1
71,1
74,1
55,1
62,1
79,1
81,2
87,2
88,2
89,2
90,2
91,2
92,2
96,2
98,2
107,2
108,2
109,2
110,2
112,2
115,2
116,2
117,2
118,2
82,2
85,2
93,2
94,2
97,2
101,2
104,2
113,2
83,2
84,2
86,2
100,2
105,2
120,2
99,2
103,2
106,2
111,2
114,2
95,2
102,2
119,2
121,3
127,3
128,3
129,3
130,3
131,3
132,3
136,3
138,3
147,3
148,3
149,3
150,3
152,3
155,3
156,3
157,3
158,3
122,3
125,3
133,3
134,3
137,3
141,3
144,3
153,3
123,3
124,3
126,3
140,3
145,3
160,3
139,3
143,3
146,3
151,3
154,3
135,3
142,3
159,3
161,4
167,4
168,4
169,4
170,4
171,4
172,4
176,4
178,4
187,4
188,4
189,4
190,4
192,4
195,4
196,4
197,4
198,4
162,4
165,4
173,4
174,4
177,4
181,4
184,4
193,4
163,4
164,4
166,4
180,4
185,4
200,4
179,4
183,4
186,4
191,4
194,4
175,4
182,4
199,4
201,5
207,5
208,5
209,5
210,5
211,5
212,5
216,5
218,5
227,5
228,5
229,5
230,5
232,5
235,5
236,5
237,5
238,5
202,5
205,5
213,5
214,5
217,5
221,5
224,5
233,5
203,5
204,5
206,5
220,5
225,5
240,5
219,5
223,5
226,5
231,5
234,5
215,5
222,5
239,5
241,6
247,6
248,6
249,6
250,6
251,6
252,6
256,6
258,6
267,6
268,6
269,6
270,6
272,6
275,6
276,6
277,6
278,6
242,6
245,6
253,6
254,6
257,6
261,6
264,6
273,6
243,6
244,6
246,6
260,6
265,6
280,6
259,6
263,6
266,6
271,6
274,6
255,6
262,6
279,6
