node_name,community_label
1,0
2,0
4,0
7,0
9,0
12,0
14,0
18,0
21,0
24,0
26,0
28,0
32,0
40,0
41,0
43,0
47,0
49,0
10,0
17,0
19,0
27,0
42,0
3,0
23,0
33,0
35,0
37,0
39,0
44,0
6,0
36,0
45,0
46,0
50,0
5,0
13,0
29,0
11,0
15,0
22,0
31,0
8,0
16,0
20,0
38,0
48,0
30,0
25,0
34,3
51,1
52,1
54,1
57,1
59,1
62,1
64,1
68,1
71,1
74,1
76,1
78,1
82,1
90,1
91,1
93,1
97,1
99,1
60,1
67,1
69,1
77,1
92,1
53,1
73,1
83,1
85,1
87,1
89,1
94,1
56,1
86,1
95,1
96,1
100,1
55,1
63,1
79,1
61,1
65,1
72,1
81,1
58,1
66,1
70,1
88,1
98,1
80,1
75,1
84,0
101,2
102,2
104,2
107,2
109,2
112,2
114,2
118,2
121,2
124,2
126,2
128,2
132,2
140,2
141,2
143,2
147,2
149,2
110,2
117,2
119,2
127,2
142,2
103,2
123,2
133,2
135,2
137,2
139,2
144,2
106,2
136,2
145,2
146,2
150,2
105,2
113,2
129,2
111,2
115,2
122,2
131,2
108,2
116,2
120,2
138,2
148,2
130,2
125,2
134,3
151,3
152,3
154,3
157,3
159,3
162,3
164,3
168,3
171,3
174,3
176,3
178,3
182,3
190,3
191,3
193,3
197,3
199,3
160,3
167,3
169,3
177,3
192,3
153,3
173,3
183,3
185,3
187,3
189,3
194,3
156,3
186,3
195,3
196,3
200,3
155,3
163,3
179,3
161,3
165,3
172,3
181,3
158,3
166,3
170,3
188,3
198,3
180,3
175,3
184,3
201,4
202,4
204,4
207,4
209,4
212,4
214,4
218,4
221,4
224,4
226,4
228,4
232,4
240,4
241,4
243,4
247,4
249,4
210,4
217,4
219,4
227,4
242,4
203,4
223,4
233,4
235,4
237,4
239,4
244,4
206,4
236,4
245,4
246,4
250,4
205,4
213,4
229,4
211,4
215,4
222,4
231,4
208,4
216,4
220,4
238,4
248,4
230,4
225,4
234,4
251,5
252,5
254,5
257,5
259,5
262,5
264,5
268,5
271,5
274,5
276,5
278,5
282,5
290,5
291,5
293,5
297,5
299,5
260,5
267,5
269,5
277,5
292,5
253,5
273,5
283,5
285,5
287,5
289,5
294,5
256,5
286,5
295,5
296,5
300,5
255,5
263,5
279,5
261,5
265,5
272,5
281,5
258,5
266,5
270,5
288,5
298,5
280,5
275,5
284,4
301,6
302,6
304,6
307,6
309,6
312,6
314,6
318,6
321,6
324,6
326,6
328,6
332,6
340,6
341,6
343,6
347,6
349,6
310,6
317,6
319,6
327,6
342,6
303,6
323,6
333,6
335,6
337,6
339,6
344,6
306,6
336,6
345,6
346,6
350,6
305,6
313,6
329,6
311,6
315,6
322,6
331,6
308,6
316,6
320,6
338,6
348,6
330,6
325,6
334,5
