1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,7
12,7
13,7
14,7
15,7
16,7
17,7
18,7
19,7
20,7
21,10
22,10
23,10
24,10
25,10
26,10
27,10
28,10
29,10
30,10
31,8
32,8
33,8
34,8
35,8
36,8
37,8
38,8
39,8
40,8
41,3
42,3
43,3
44,3
45,3
46,3
47,3
48,3
49,3
50,3
51,13
52,13
53,13
54,13
55,13
56,13
57,13
58,13
59,13
60,13
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,11
72,11
73,11
74,11
75,11
76,11
77,11
78,11
79,11
80,11
81,14
82,14
83,14
84,14
85,14
86,14
87,14
88,14
89,14
90,14
91,4
92,4
93,4
94,4
95,4
96,4
97,4
98,4
99,4
100,4
101,12
102,12
103,12
104,12
105,12
106,12
107,12
108,12
109,12
110,12
111,5
112,5
113,5
114,5
115,5
116,5
117,5
118,5
119,5
120,5
121,15
122,15
123,15
124,15
125,15
126,15
127,15
128,15
129,15
130,15
131,6
132,6
133,6
134,6
135,6
136,6
137,6
138,6
139,6
140,6
141,9
142,9
143,9
144,9
145,9
146,9
147,9
148,9
149,9
150,9
