1,10
2,1
3,2
4,10
5,11
6,11
7,12
8,5
9,4
10,10
11,9
12,4
13,3
14,7
15,10
16,1
17,8
18,3
19,1
20,1
21,6
22,10
23,7
24,6
25,7
26,6
27,7
28,11
29,8
30,1
31,2
32,6
33,6
34,8
35,3
36,11
37,4
38,2
39,7
40,7
41,3
42,7
43,5
44,3
45,4
46,6
47,12
48,11
49,9
50,1
51,11
52,6
53,2
54,5
55,8
56,2
57,11
58,6
59,10
60,6
61,5
62,8
63,8
64,9
65,5
66,3
67,7
68,1
69,2
70,2
71,10
72,3
73,2
74,12
75,5
76,5
77,7
78,9
79,5
80,8
81,9
82,7
83,5
84,10
85,4
86,10
87,7
88,3
89,11
90,1
91,5
92,7
93,3
94,12
95,4
96,9
97,8
98,3
99,4
100,6
101,2
102,11
103,1
104,12
105,6
106,11
107,11
108,4
109,10
110,11
111,11
112,11
113,6
114,8
115,5
